"Id","MSSubClass","MSZoning","LotFrontage","LotArea","Street","Alley","LotShape","LandContour","Utilities","LotConfig","LandSlope","Neighborhood","Condition1","Condition2","BldgType","HouseStyle","OverallQual","OverallCond","YearBuilt","YearRemodAdd","RoofStyle","RoofMatl","Exterior1st","Exterior2nd","MasVnrType","MasVnrArea","ExterQual","ExterCond","Foundation","BsmtQual","BsmtCond","BsmtExposure","BsmtFinType1","BsmtFinSF1","BsmtFinType2","BsmtFinSF2","BsmtUnfSF","TotalBsmtSF","Heating","HeatingQC","CentralAir","Electrical","X1stFlrSF","X2ndFlrSF","LowQualFinSF","GrLivArea","BsmtFullBath","BsmtHalfBath","FullBath","HalfBath","BedroomAbvGr","KitchenAbvGr","KitchenQual","TotRmsAbvGrd","Functional","Fireplaces","FireplaceQu","GarageType","GarageYrBlt","GarageFinish","GarageCars","GarageArea","GarageQual","GarageCond","PavedDrive","WoodDeckSF","OpenPorchSF","EnclosedPorch","X3SsnPorch","ScreenPorch","PoolArea","PoolQC","Fence","MiscFeature","MiscVal","MoSold","YrSold","SaleType","SaleCondition","SalePrice"
1471,120,5,26,5858,"Pave",1,"IR1","Lvl",1,"FR2","Gtl","NAmes","Norm","Norm","TwnhsE","1Story",7,5,1999,1999,"Gable","CompShg",9,9,4,206,"Gd","TA","PConc",2,3,4,1,1051,3,0,354,1405,"GasA","Ex","Y",1,1337,1405,108,1337,1,0,2,0,2,1,2,5,1,1,4,2,1999,1,2,511,3,3,"Y",203,68,0,0,0,0,5,5,6,0,6,2010,5,"Normal",184000
1472,160,8,21,1680,"Pave",1,"Reg","Lvl",1,"Inside","Gtl","BrDale","Norm","Norm","Twnhs","2Story",6,5,1971,1971,"Gable","CompShg",7,7,2,504,"TA","TA","CBlock",3,3,4,4,156,6,0,327,483,"GasA","TA","Y",1,483,504,371,987,0,0,1,1,2,1,3,5,1,0,6,6,1971,3,1,264,3,3,"Y",275,0,0,0,0,0,5,5,6,0,2,2010,5,"Normal",96000
1473,160,8,21,1680,"Pave",1,"Reg","Lvl",1,"Inside","Gtl","BrDale","Norm","Norm","Twnhs","2Story",5,5,1971,1971,"Gable","CompShg",7,7,2,492,"TA","TA","CBlock",3,3,4,4,300,6,0,225,525,"GasA","TA","Y",1,525,567,114,1092,0,0,1,1,3,1,3,6,1,0,6,6,1997,3,1,320,3,3,"Y",0,0,0,0,0,0,5,5,6,0,3,2010,4,"Normal",88000
1474,160,6,24,2280,"Pave",1,"Reg","Lvl",1,"FR2","Gtl","NPkVill","Norm","Norm","Twnhs","2Story",6,6,1975,1975,"Gable","CompShg",11,15,4,24,"TA","TA","CBlock",3,3,4,2,514,6,0,341,855,"GasA","TA","Y",1,855,601,234,1456,0,0,2,1,3,1,2,6,1,1,3,2,1975,3,2,440,3,3,"Y",173,0,0,0,0,0,5,5,6,0,6,2010,5,"Normal",149900
1475,120,6,24,2280,"Pave",1,"Reg","Lvl",1,"FR2","Gtl","NPkVill","Norm","Norm","Twnhs","1Story",7,6,1975,1975,"Gable","CompShg",11,16,4,281,"TA","TA","CBlock",2,3,4,6,547,6,0,836,836,"GasA","Ex","Y",1,836,1420,53,836,0,0,1,0,2,1,3,4,1,0,6,2,1975,3,1,308,3,3,"Y",0,30,0,0,0,0,5,5,6,0,6,2010,9,"Normal",120000
1476,60,6,102,12858,"Pave",1,"IR1","Lvl",1,"Inside","Gtl","NridgHt","Norm","Norm","1Fam","2Story",9,5,2009,2010,"Gable","CompShg",15,15,5,162,"Ex","TA","PConc",1,3,4,6,786,6,0,1590,1590,"GasA","Ex","Y",1,1627,707,205,2334,0,0,2,1,3,1,1,10,1,1,2,2,2009,1,3,751,3,3,"Y",144,133,0,0,0,0,5,5,6,0,1,2010,4,"Partial",376162
1477,20,6,94,12883,"Pave",1,"IR1","Lvl",1,"Corner","Gtl","NridgHt","Norm","Norm","1Fam","1Story",8,5,2009,2010,"Gable","CompShg",15,15,5,256,"Gd","TA","PConc",2,3,4,6,700,6,0,1544,1544,"GasA","Ex","Y",1,1544,804,450,1544,0,0,2,0,3,1,2,7,1,0,6,2,2009,2,3,868,3,3,"Y",0,35,0,0,0,0,5,5,6,0,6,2010,4,"Partial",290941
1478,20,6,90,11520,"Pave",1,"Reg","Lvl",1,"Inside","Gtl","NridgHt","PosN","Norm","1Fam","1Story",9,5,2005,2005,"Hip","CompShg",15,15,2,615,"Gd","TA","PConc",1,3,4,1,110,6,0,1588,1698,"GasA","Ex","Y",1,1698,691,156,1698,0,0,2,0,3,1,1,7,1,1,2,2,2005,1,3,730,3,3,"Y",192,74,0,0,0,0,5,5,6,0,6,2010,4,"Normal",275000
1479,20,6,79,14122,"Pave",2,"IR1","Lvl",1,"Inside","Gtl","NridgHt","Norm","Norm","1Fam","1Story",8,5,2005,2006,"Hip","CompShg",6,9,2,240,"Gd","TA","PConc",1,3,4,1,28,6,0,1794,1822,"GasA","Ex","Y",1,1822,908,234,1822,0,0,2,0,3,1,1,8,1,1,2,2,2005,2,3,678,3,3,"Y",0,119,0,0,0,0,5,5,6,0,2,2010,4,"Normal",259000
1480,20,6,110,14300,"Pave",1,"Reg","HLS",1,"Inside","Mod","NridgHt","Norm","Norm","1Fam","1Story",9,5,2003,2004,"Hip","CompShg",15,15,2,1095,"Ex","TA","PConc",1,3,1,1,1373,6,0,1473,2846,"GasA","Ex","Y",1,2696,869,120,2696,1,0,2,1,3,1,1,10,1,2,2,2,2003,1,3,958,3,3,"Y",220,150,0,0,0,0,5,5,6,0,6,2010,4,"Normal",500000
1481,60,6,105,13650,"Pave",2,"Reg","Lvl",1,"Corner","Gtl","NridgHt","Norm","Norm","1Fam","2Story",8,5,2002,2002,"Gable","CompShg",15,15,2,232,"Gd","TA","PConc",2,3,1,1,578,6,0,1093,1671,"GasA","Ex","Y",1,1687,563,371,2250,1,0,2,1,3,1,2,7,1,1,1,2,2002,1,3,756,3,3,"Y",238,130,0,0,0,0,5,5,6,0,6,2010,5,"Normal",320000
1482,120,6,41,7132,"Pave",1,"IR1","Lvl",1,"Inside","Gtl","NridgHt","Norm","Norm","TwnhsE","1Story",8,5,2006,2006,"Gable","CompShg",15,15,5,178,"Gd","TA","PConc",2,3,3,1,24,6,0,1346,1370,"GasA","Ex","Y",1,1370,1120,80,1370,0,0,2,0,2,1,2,6,1,1,2,2,2006,2,2,484,3,3,"Y",120,49,0,0,0,0,5,5,6,0,4,2010,4,"Normal",205000
1483,20,6,100,18494,"Pave",1,"IR1","Lvl",1,"Corner","Gtl","Gilbert","Norm","Norm","1Fam","1Story",6,5,2005,2005,"Gable","CompShg",15,15,4,70,"Gd","TA","PConc",2,3,4,6,544,6,0,1324,1324,"GasA","Ex","Y",1,1324,764,80,1324,0,0,2,0,3,1,2,6,1,0,6,2,2005,1,2,430,3,3,"Y",36,23,0,0,0,0,5,5,6,0,1,2010,5,"Normal",199500
1484,120,6,43,3203,"Pave",2,"Reg","Lvl",1,"Inside","Gtl","Blmngtn","Norm","Norm","TwnhsE","1Story",7,5,2006,2006,"Gable","CompShg",15,15,2,14,"Gd","TA","PConc",2,3,2,1,16,6,0,1129,1145,"GasA","Ex","Y",1,1145,546,479,1145,0,0,2,0,2,1,2,6,1,0,6,2,2006,1,2,437,3,3,"Y",100,116,0,0,0,0,5,5,6,0,1,2010,4,"Normal",160000
1485,80,6,67,13300,"Pave",1,"IR1","Lvl",1,"Inside","Gtl","Gilbert","Norm","Norm","1Fam","SLvl",7,5,2004,2004,"Gable","CompShg",15,15,4,435,"Gd","TA","PConc",2,3,4,1,326,6,0,58,384,"GasA","Ex","Y",1,744,630,450,1374,1,0,2,1,3,1,2,7,1,1,2,4,2004,1,2,400,3,3,"Y",100,0,0,0,0,0,5,5,6,0,6,2010,4,"Normal",184500
1486,60,6,63,8577,"Pave",2,"IR1","Lvl",1,"Inside","Gtl","Gilbert","Norm","Norm","1Fam","2Story",7,5,2004,2004,"Gable","CompShg",15,15,4,510,"Gd","TA","PConc",2,3,4,6,847,6,0,847,847,"GasA","Ex","Y",1,847,886,205,1733,0,0,2,1,3,1,2,7,1,1,2,4,2004,1,2,433,3,3,"Y",144,48,0,0,0,0,5,5,6,0,4,2010,5,"Normal",185088
1487,60,6,60,17433,"Pave",2,"IR2","Lvl",1,"CulDSac","Gtl","NoRidge","Norm","Norm","1Fam","2Story",8,5,1998,1998,"Hip","CompShg",15,15,2,114,"Gd","TA","PConc",1,3,4,6,646,6,0,1629,1629,"GasA","Ex","Y",1,1645,830,514,2475,0,0,2,1,4,1,2,7,1,1,3,2,1998,1,3,962,3,3,"Y",23,172,0,0,256,0,5,5,6,0,1,2010,4,"Normal",355000
1488,20,6,73,8987,"Pave",1,"Reg","Lvl",1,"Inside","Gtl","Somerst","Norm","Norm","1Fam","1Story",8,5,2005,2006,"Gable","CompShg",15,15,2,226,"Gd","TA","PConc",2,3,5,6,923,6,0,1595,1595,"GasA","Ex","Y",1,1595,548,514,1595,0,0,2,0,2,1,2,6,1,1,2,2,2005,2,3,880,3,3,"Y",144,0,0,0,0,0,5,5,6,0,5,2010,4,"Normal",221500
1489,20,3,92,9215,"Pave",2,"Reg","Lvl",1,"Inside","Gtl","Somerst","Norm","Norm","1Fam","1Story",7,5,2009,2010,"Hip","CompShg",15,15,4,134,"Gd","TA","PConc",2,3,4,6,384,6,0,1218,1218,"GasA","Ex","Y",1,1218,823,80,1218,0,0,2,0,2,1,2,4,1,0,6,2,2009,2,2,676,3,3,"Y",0,136,0,0,0,0,5,5,6,0,4,2010,4,"Partial",204500
1490,20,3,84,10440,"Pave",1,"Reg","Lvl",1,"Corner","Gtl","Somerst","Norm","Norm","1Fam","1Story",6,5,2005,2005,"Gable","CompShg",15,15,4,108,"Gd","TA","PConc",1,3,4,1,1414,6,0,54,1468,"GasA","Ex","Y",1,1468,843,384,1468,1,0,2,0,2,1,2,6,1,1,2,2,2005,1,2,528,3,3,"Y",0,102,0,0,216,0,5,5,6,0,5,2010,4,"Normal",271500
1491,60,6,70,11920,"Pave",1,"Reg","Lvl",1,"Inside","Gtl","SawyerW","Norm","Norm","1Fam","2Story",7,5,2004,2004,"Gable","CompShg",15,15,2,122,"Gd","TA","PConc",2,3,2,6,68,6,0,831,831,"GasA","Ex","Y",1,831,828,1064,1659,0,0,2,1,3,1,2,8,1,0,6,2,2004,2,2,484,3,3,"Y",144,68,0,0,0,0,5,5,6,0,4,2010,4,"Normal",181000
1492,30,5,70,9800,"Pave",2,"Reg","Lvl",1,"Corner","Gtl","SawyerW","Feedr","Norm","1Fam","1Story",5,5,1920,1950,"Gable","CompShg",16,16,4,40,"TA","Fa","BrkTil",3,3,4,6,602,6,0,816,816,"GasA","TA","N",2,1012,332,513,1012,0,0,1,0,2,1,3,5,1,0,6,6,1920,3,1,429,3,3,"Y",121,0,80,0,0,0,5,5,6,0,4,2010,4,"Normal",67500
1493,20,6,39,15410,"Pave",1,"IR1","Lvl",1,"CulDSac","Gtl","Sawyer","RRNe","Norm","1Fam","1Story",6,6,1974,2002,"Hip","CompShg",11,11,1,250,"TA","Gd","CBlock",3,3,1,3,126,1,859,223,1208,"GasA","Ex","Y",1,1494,896,420,1494,1,0,2,0,3,1,3,7,1,2,4,2,1974,1,2,461,3,3,"Y",296,0,186,0,0,0,5,1,6,0,4,2010,9,"Abnorml",169000
1494,60,6,85,13143,"Pave",2,"IR1","Lvl",1,"Inside","Gtl","NoRidge","Norm","Norm","1Fam","2Story",8,5,1993,1993,"Gable","CompShg",7,8,2,504,"Gd","TA","PConc",2,3,4,5,250,1,981,1079,1231,"GasA","Ex","Y",1,1251,1098,80,2349,1,0,2,1,4,1,2,9,1,1,3,2,1993,2,3,762,3,3,"Y",32,130,0,0,0,0,5,5,6,0,6,2010,4,"Normal",362500
1495,60,6,88,11134,"Pave",2,"Reg","Lvl",1,"Inside","Gtl","NoRidge","Norm","Norm","1Fam","2Story",8,5,1992,1993,"Gable","CompShg",7,7,2,180,"Gd","TA","PConc",2,3,4,1,1129,6,0,261,1390,"GasA","Ex","Y",1,1402,823,156,2225,1,0,2,1,4,1,2,7,1,1,3,2,1992,2,3,713,3,3,"Y",198,30,0,0,0,0,5,5,6,0,6,2010,4,"Normal",285000
1496,120,3,25,4835,"Pave",1,"IR1","Lvl",1,"CulDSac","Gtl","Somerst","Norm","Norm","TwnhsE","1Story",7,5,2004,2005,"Gable","CompShg",9,9,4,252,"Gd","TA","PConc",1,3,2,1,1298,6,0,190,1488,"GasA","Ex","Y",1,1488,375,572,1488,1,0,2,0,2,1,2,6,1,1,2,2,2004,1,2,506,3,3,"Y",168,50,0,0,0,0,5,5,6,0,3,2010,9,"Normal",260000
1497,160,3,39,3515,"Pave",2,"Reg","Lvl",1,"Inside","Gtl","Somerst","Norm","Norm","TwnhsE","2Story",7,5,2004,2004,"Gable","CompShg",15,15,4,176,"Gd","TA","PConc",2,3,4,6,998,6,0,840,840,"GasA","Ex","Y",1,840,840,431,1680,0,0,2,1,2,1,2,3,1,0,6,2,2004,2,2,588,3,3,"Y",0,111,0,0,0,0,5,5,6,0,1,2010,4,"Normal",190000
1498,160,3,30,3215,"Pave",2,"Reg","Lvl",1,"Inside","Gtl","Somerst","Norm","Norm","TwnhsE","2Story",7,5,2004,2004,"Gable","CompShg",9,9,2,120,"Gd","TA","PConc",2,3,2,1,280,6,0,320,600,"GasA","Ex","Y",1,600,600,512,1200,0,0,2,1,2,1,2,4,1,0,6,6,2004,2,2,480,3,3,"Y",0,172,0,0,0,0,5,5,6,0,4,2010,9,"Normal",155000
1499,160,3,24,2544,"Pave",2,"Reg","Lvl",1,"Inside","Gtl","Somerst","Norm","Norm","Twnhs","2Story",7,5,2004,2005,"Gable","CompShg",9,9,4,216,"Gd","TA","PConc",2,3,4,1,368,2,42,190,600,"GasA","Ex","Y",1,600,600,371,1200,1,0,2,1,2,1,2,4,1,0,6,6,2004,2,2,480,3,3,"Y",0,172,0,0,0,0,5,5,6,0,2,2010,5,"Normal",149500
1500,160,3,24,2544,"Pave",2,"Reg","Lvl",1,"Inside","Gtl","Somerst","Norm","Norm","Twnhs","2Story",6,5,2005,2005,"Gable","CompShg",15,15,2,216,"Gd","TA","PConc",2,3,4,1,376,6,0,224,600,"GasA","Ex","Y",1,600,636,80,1236,1,0,2,1,2,1,2,4,1,0,6,6,2005,2,2,480,3,3,"Y",0,166,0,0,0,0,5,5,6,0,5,2010,4,"Normal",152000
1501,160,3,131,2980,"Pave",2,"Reg","Lvl",1,"Corner","Gtl","Somerst","Norm","Norm","TwnhsE","2Story",6,5,2000,2000,"Gable","CompShg",9,9,2,1159,"Gd","TA","PConc",2,3,4,1,466,6,0,290,756,"GasA","Ex","Y",1,756,756,140,1512,1,0,2,1,2,1,2,5,1,0,6,6,2000,3,2,440,3,3,"Y",0,32,0,0,0,0,5,5,6,0,5,2010,2,"Normal",177000
1502,160,3,98,2403,"Pave",2,"IR1","Lvl",1,"FR2","Gtl","Somerst","Norm","Norm","TwnhsE","2Story",7,5,2003,2003,"Gable","CompShg",15,15,4,256,"Gd","TA","PConc",2,3,4,1,244,6,0,286,530,"GasA","Ex","Y",1,530,550,53,1080,0,0,2,1,2,1,2,4,1,0,6,2,2003,2,2,496,3,3,"Y",0,50,0,0,0,0,5,5,6,0,6,2010,4,"Normal",147110
1503,20,3,57,12853,"Pave",2,"IR1","Lvl",1,"Inside","Gtl","Somerst","Norm","Norm","1Fam","1Story",8,5,2010,2010,"Gable","CompShg",6,9,4,157,"Gd","TA","PConc",1,5,4,1,1032,6,0,610,1642,"GasA","Ex","Y",1,1418,754,514,1418,1,0,1,1,1,1,2,6,1,1,2,2,2010,2,3,852,3,3,"Y",160,192,0,224,0,0,5,5,6,0,4,2010,4,"Partial",267916
1504,60,3,68,7379,"Pave",2,"IR1","Lvl",1,"Inside","Gtl","Somerst","Norm","Norm","1Fam","2Story",8,5,2000,2000,"Gable","CompShg",15,15,4,260,"Gd","TA","PConc",2,3,4,1,484,6,0,491,975,"GasA","Ex","Y",1,975,873,140,1848,1,0,2,1,3,1,2,7,1,1,3,2,2000,2,2,592,3,3,"Y",280,184,0,0,0,0,5,5,6,0,4,2010,5,"Normal",254000
1505,20,3,80,8000,"Pave",2,"Reg","Lvl",1,"Inside","Gtl","Somerst","Norm","Norm","1Fam","1Story",7,5,2002,2002,"Gable","CompShg",15,15,4,168,"Gd","TA","PConc",2,3,4,1,833,6,0,659,1492,"GasA","Ex","Y",1,1492,886,362,1492,1,0,2,0,3,1,2,6,1,1,2,2,2002,2,2,596,3,3,"Y",277,137,0,0,0,0,5,5,6,0,4,2010,4,"Normal",230000
1506,20,6,44,10456,"Pave",1,"IR1","Lvl",1,"Inside","Gtl","NWAmes","Norm","Norm","1Fam","1Story",6,6,1967,1967,"Hip","CompShg",7,7,2,120,"TA","TA","CBlock",3,3,4,1,506,6,0,1323,1829,"GasA","Gd","Y",1,1829,240,371,1829,1,0,2,0,4,1,3,8,1,0,6,2,1967,2,2,535,3,3,"Y",0,76,0,0,0,0,5,5,6,0,5,2010,4,"Normal",218500
1507,60,6,80,10791,"Pave",1,"Reg","Lvl",1,"Inside","Gtl","NWAmes","Norm","Norm","1Fam","2Story",6,5,1993,1993,"Gable","CompShg",9,9,4,94,"TA","TA","PConc",2,3,3,1,1137,6,0,143,1280,"GasA","Ex","Y",1,1280,1215,481,2495,1,0,2,1,4,1,2,9,1,1,3,2,1993,3,2,660,3,3,"Y",224,32,0,0,0,0,5,5,6,0,3,2010,4,"Normal",243500
1508,50,6,48,18837,"Pave",1,"IR1","Lvl",1,"Inside","Gtl","NWAmes","Norm","Norm","1Fam","1.5Fin",6,5,1978,1978,"Gable","CompShg",9,9,4,368,"TA","TA","PConc",2,3,3,2,687,5,46,491,1224,"GasA","TA","Y",1,1287,604,431,1891,0,1,3,0,3,1,3,7,1,1,3,2,1978,2,2,678,3,3,"Y",0,69,0,0,0,0,5,5,6,0,4,2010,9,"Normal",212500
1509,60,6,80,9600,"Pave",1,"Reg","Lvl",1,"Inside","Gtl","NWAmes","Norm","Norm","1Fam","2Story",6,6,1971,1971,"Gable","CompShg",9,9,4,44,"TA","TA","CBlock",3,3,4,2,329,6,0,386,715,"GasA","TA","Y",1,930,715,144,1645,0,0,1,2,4,1,3,7,1,0,6,2,1971,2,2,441,3,3,"Y",0,78,0,0,0,0,5,3,6,0,6,2010,9,"Normal",171000
1510,20,6,80,9600,"Pave",1,"Reg","Lvl",1,"Inside","Gtl","NAmes","Norm","Norm","1Fam","1Story",5,5,1966,1966,"Hip","CompShg",15,15,2,172,"TA","TA","CBlock",3,3,4,4,698,6,0,534,1232,"GasA","TA","Y",1,1232,745,479,1232,1,0,1,1,3,1,3,6,1,0,6,2,1966,2,2,490,3,3,"Y",0,224,0,0,0,0,5,5,6,0,4,2010,5,"Normal",142250
1511,20,6,90,9900,"Pave",1,"Reg","Lvl",1,"Corner","Gtl","NAmes","Norm","Norm","1Fam","1Story",5,5,1966,1966,"Hip","CompShg",7,7,4,579,"TA","TA","PConc",2,3,4,3,1059,6,0,150,1209,"GasA","Gd","Y",1,1209,1721,114,1209,1,0,1,0,3,1,3,6,1,0,6,2,1966,2,2,504,3,3,"Y",0,0,120,0,0,0,5,5,6,0,4,2010,9,"Normal",159000
1512,20,6,88,9680,"Pave",1,"Reg","Lvl",1,"Inside","Gtl","NAmes","Norm","Norm","1Fam","1Story",5,6,1967,1967,"Gable","CompShg",16,11,2,268,"TA","TA","CBlock",3,3,4,3,1010,6,0,500,1510,"GasA","Ex","Y",1,1510,588,114,1510,1,0,2,0,3,1,2,6,1,0,6,2,1967,2,2,517,3,3,"Y",0,40,0,0,204,0,5,1,6,0,4,2010,4,"Normal",178900
1513,80,6,80,10600,"Pave",2,"IR1","Lvl",1,"Inside","Gtl","NAmes","Norm","Norm","1Fam","SLvl",6,5,1964,1964,"Gable","CompShg",7,7,4,256,"TA","TA","CBlock",3,3,4,6,410,6,0,533,533,"GasA","TA","Y",1,1131,644,140,1775,0,0,2,0,3,1,3,8,1,0,6,2,1964,3,2,480,3,3,"Y",0,172,0,0,0,0,5,5,6,0,5,2010,5,"Family",136300
1514,90,6,98,13260,"Pave",2,"IR1","Lvl",1,"Inside","Gtl","NAmes","Norm","Norm","Duplex","1Story",5,6,1962,2001,"Hip","CompShg",7,7,2,144,"TA","TA","CBlock",3,3,4,3,1500,6,0,228,1728,"GasA","TA","Y",1,1728,785,360,1728,2,0,2,0,6,2,3,10,1,0,6,7,2001,4,0,0,6,6,"Y",0,0,0,0,0,0,5,5,6,0,1,2010,10,"Abnorml",84900
1515,50,6,68,9724,"Pave",1,"Reg","Lvl",1,"Inside","Gtl","NAmes","Norm","Norm","1Fam","1.5Fin",5,7,1952,2002,"Gable","CompShg",9,9,2,265,"Gd","TA","CBlock",3,3,4,5,670,6,0,470,1140,"GasA","Gd","Y",1,1929,532,144,2461,0,0,2,0,3,1,3,7,3,2,2,6,1994,3,2,400,3,3,"Y",0,0,0,0,0,0,5,3,6,0,3,2010,9,"Normal",197600
1516,50,6,120,17360,"Pave",2,"Reg","Lvl",1,"Corner","Gtl","NAmes","Artery","Norm","1Fam","1.5Fin",6,6,1949,1950,"Gable","CompShg",9,9,5,340,"TA","Gd","CBlock",3,3,4,4,300,6,0,482,782,"GasA","TA","Y",1,1019,537,108,1556,0,0,2,0,3,1,3,6,1,1,2,2,1949,3,2,470,3,3,"Y",0,0,150,0,0,0,5,5,6,0,1,2010,5,"Normal",172500
1517,85,6,75,11380,"Pave",1,"IR1","Lvl",1,"Inside","Gtl","NAmes","Norm","Norm","1Fam","SFoyer",6,8,1966,2008,"Gable","CompShg",7,7,2,216,"TA","TA","CBlock",3,3,1,1,944,6,0,136,1080,"GasA","Gd","Y",1,1128,717,371,1128,1,0,1,0,2,1,2,5,1,1,2,2,1966,3,1,315,3,3,"Y",238,0,0,0,0,0,5,5,4,1500,1,2010,5,"Normal",178000
